iso,round,variant,loop_wall_s,e2e_s,cpu_ratio,load1
2026-08-03T11:12:02+01:00,1,O2,2328.96,2330.13,1.000,9.82
2026-08-03T11:38:28+01:00,1,O3,1583.73,1585.61,0.999,9.74
2026-08-03T12:05:46+01:00,1,Ofast,1636.78,1637.90,1.000,10.27
2026-08-03T12:38:32+01:00,2,O2,1964.9,1965.98,1.000,9.96
2026-08-03T13:07:11+01:00,2,O3,1717.11,1718.51,1.000,11.05
2026-08-03T13:32:15+01:00,2,Ofast,1502.77,1503.78,1.000,11.35
2026-08-03T14:04:10+01:00,3,O2,1914.1,1915.12,1.000,12.47
2026-08-03T14:31:43+01:00,3,O3,1650.77,1652.61,0.999,11.29
2026-08-03T14:58:57+01:00,3,Ofast,1632.06,1633.61,1.000,9.60
